"origin","comb_cbd","comb_cbn","comb_thc","comb_cbg","comb_thcv","comb_cbc"
"Oakland",0.148808,0.034936,19.71941,0.466528,0.16412,0.172524
"Oakland",0.147048,0.033704,20.34428,0.730788,0.148984,0.120252
"Oakland",0.155144,0.026664,18.392052,0.333012,0.080344,0.089808
"Oakland",0.168256,0.03872,21.779166,0.719084,1.332716,0.033
"Oakland",0.164824,0.039952,19.155382,0.560808,0.239024,0.031768
"Oakland",0.156728,0.0462,19.176524,0.612532,0.26456,0.015136
"Oakland",0.153032,0.045848,18.622582,0.327216,0.230692,0.022264
"Oakland",0.154792,0.029304,17.341942,0.416096,0.065736,0.080632
"Oakland",0.159104,0.029656,17.262346,0.411156,0.05632,0.092472
"Oakland",0.13948,0.305692,13.07665,0.511376,0.430476,0.091732
"Oakland",0.147136,0.292492,17.157628,0.382084,0.1228,0.09446
"Oakland",12.490276,0,5.95576,0.743544,0,0.239348
"Oakland",9.603812,0,4.451556,0.32872,0,0.137644
"Oakland",0.0568,0,22.0981,0.958668,0,0.099696
"Oakland",0.169312,0,0,0.2747,0,0
"Oakland",0.1694,0.040656,23.36919,0.509816,0.069168,0.022704
"Oakland",0.18216,0.025696,29.963806,0.90974,0.134288,0.071544
"Oakland",9.791204,0.023848,4.75421,0.323712,0.105944,0.07744
"Oakland",12.676176,0.022792,5.947696,0.629872,0.04796,0.092664
